parusava_id,name,upazila_id
60360212,AJMIRIGANJ,603602
60362616,CHUNARUGHAT,603626
60364420,HABIGANJ,603644
60364480,SHAYESTAGANG,603644
60367140,MADHABPUR,603671
60367760,NABIGANJ,603677
60581413,BARLEKHA,605814
60585615,KAMALGANJ,605856
60586525,KULAURA,605865
60587450,MAULVIBAZAR,605874
60588375,SREEMANGAL,605883
60902320,CHHATAK,609023
60902940,DERAI,609029
60904750,JAGANNATHPUR,609047
60908960,SUNAMGANJ,609089
60911716,BEANI BAZAR,609117
60913825,GOLAPGANJ,609138
60915937,KANAIGHAT,609159
60916250,SYLHET,609162
60919475,ZAKIGANJ,609194
55271012,BIRAMPUR,552710
55271218,BIRGANJ,552712
55272185,SETABGANJ,552721
55273842,FULBARI,552738
55274353,GHORAGHAT,552743
55274757,HAKIMPUR,552747
55276428,DINAJPUR,552764
55277771,PARBATIPUR,552777
55322422,GAIBANDHA,553224
55323033,GOBINDAGANJ,553230
55326766,PALASHBARI PAURASHAV,553267
55329177,SUNDARGANJ,553291
55495233,KURIGRAM,554952
55496155,NAGESHWARI,554961
55499466,ULIPUR,554994
55525533,LALMONIRHAT,555255
55527066,PATGRAM,555270
55731525,DOMAR,557315
55733637,JALDHAKA,557336
55736450,NILPHAMARI,557364
55738575,SAIDPUR,557385
55772520,BODA,557725
55777350,PANCHAGARH,557773
55850313,BADARGANJ,558503
55854225,HARAGACHH (KAUNIA),558542
55854975,RANGPUR,558549
55948233,PIRGANJ,559482
55948655,RANISANKAIL,559486
55949466,THAKURGAON,559494
50100650,SANTAHAR,501006
50102020,BOGRA,501020
50102730,DHUNAT,501027
50103337,DHUPCHANCHIA,501033
50103370,TALORA,501033
50104040,GABTALI,501040
50105442,KAHALOO,501054
50106745,NANDIGRAM,501067
50108165,SARIAKANDI,501081
50108875,SHERPUR,501088
50109482,SHIBGANJ,501094
50109587,SONATOLA,501095
50381325,AKKELPUR,503813
50384750,JOYPURHAT,503847
50385860,KALAI,503858
50386167,KHETLAL,503861
50387475,PANCHBIBI,503874
50642830,DHAMOIRHAT,506428
50646050,NAOGAON,506460
50647570,NOZIPUR,506475
50690921,BAGATIPARA,506909
50691525,BANPARA,506915
50691531,BARAIGRAM,506915
50694140,GURUDASPUR,506941
50694435,GOPALPUR (LALPUR),506944
50695545,NALDANGA,506955
50696350,NATORE,506963
50699175,SINGRA,506991
50703744,RAHANPUR,507037
50705622,NACHOLE,507056
50706633,CHAPAI NABABGANJ,507066
50708866,SHIBGANJ,507088
50760508,ATGHARIA,507605
50761612,BERA,507616
50761918,BHANGURA,507619
50762225,CHATMOHAR,507622
50763337,FARIDPUR,507633
50763950,ISHWARDI,507639
50765562,PABNA,507655
50767275,SANTHIA,507672
50768387,SUJANAGAR,507683
50811008,ARANI,508110
50811016,BAGHA,508110
50811225,BHABANIGONJ,508112
50811285,TAHIRPUR,508112
50812266,RAJSHAHI,508122
50812533,CHARGHAT,508125
50813143,DURGAPUR,508131
50813450,GODAGARI,508134
50813455,KAKANHAT,508134
50814066,RAJSHAHI,508140
50815365,KESHARHAT,508153
50817260,KATAKHALI,508172
50817275,NOAHATA,508172
50818280,PUTHIA,508182
50818566,RAJSHAHI,508185
50819066,RAJSHAHI,508190
50819470,MUNDUMALA,508194
50819483,TANORE,508194
50881116,BELKUCHI,508811
50885020,KAZIPUR,508850
50886123,ROYGANJ,508861
50886725,SHAHJADPUR,508867
50887850,SIRAJGANJ,508878
50889475,ULLAH PARA,508894
40010825,BAGERHAT,400108
40015850,MONGLA PORT,400158
40016075,MORRELGANJ,400160
40180720,ALAMDANGA,401807
40182340,CHUADANGA,401823
40183160,DARSHANA,401831
40185580,JIBAN NAGAR,401855
40410483,NOAPARA,404104
40410905,BAGHER PARA,404109
40411113,CHAUGACHHA,404111
40412333,JHIKARGACHHA,404123
40413837,KESHABPUR,404138
40414716,JESSORE,404147
40416166,MANIRAMPUR,404161
40419008,BENAPOLE,404190
40441412,HARINAKUNDA,404414
40441916,JHENAIDAH,404419
40443332,KALIGANJ,404433
40444250,KOTCHANDPUR,404442
40447166,MAHESHPUR,404471
40448083,SHAILKUPA,404480
40471722,CHALNA,404717
40472133,KHULNA,404721
40474533,KHULNA,404745
40474833,KHULNA,404748
40475133,KHULNA,404751
40476466,PAIKGACHHA,404764
40478533,KHULNA,404785
40501520,BHERAMARA,405015
40506330,KHOKSA,405063
40507140,KUMARKHALI,405071
40507960,KUSHTIA,405079
40509480,MIRPUR,405094
40555750,MAGURA,405557
40574722,GANGNI,405747
40578733,MEHERPUR,405787
40652833,KALIA,406528
40655244,LOHAGARA,406552
40657666,NARAIL,406576
40874333,KALAROA,408743
40878266,SATKHIRA,408782
30260220,DHAKA DAKSHIN,302602
30260225,DHAKA UTTAR,302602
30261440,DHAMRAI,302614
30261620,DHANMONDI,302616
30261860,DOHAR,302618
30262820,HAZARIBAGH,302628
30265025,MOHAMMADPUR,302650
30266620,RAMNA,302666
30267280,SAVAR,302672
30291020,BHANGA,302910
30291840,BOALMARI,302918
30294760,FARIDPUR,302947
30295670,MADHUKHALI,302956
30296280,NAGARKANDA,302962
30333033,GAZIPUR,303330
30333244,KALIAKAIR,303332
30333449,KALIGANJ,303334
30338655,SREEPUR,303386
30353225,GOPALGANJ,303532
